DPUS,TASKS,CYCLES,TIME,ALGORITHM
1,1,358151488.0,1.0225,xs32
1,1,1019491088.0,2.925,mt32
1,1,98471208.0,0.2825,sc32
1,1,388736828.0,1.11,lm32
1,2,358246682.0,1.0225,xs32
1,2,1019768840.0,2.925,mt32
1,2,91890092.0,0.262625,sc32
1,2,335172512.0,0.9575,lm32
1,4,358147784.0,1.0225,xs32
1,4,1019476903.0,2.925,mt32
1,4,88126023.0,0.252125,sc32
1,4,306462532.0,0.875625,lm32
1,8,358141852.5,1.0225,xs32
1,8,1019463165.0,2.9250000000000003,mt32
1,8,86387470.0,0.2470625,sc32
1,8,292689913.0,0.8365625000000001,lm32
1,16,521080965.5,1.4899999999999995,xs32
1,16,409535316.25,1.17,mt32
1,16,612931441.0,1.7510937499999997,sc32
1,16,218929446.0,0.6259375,lm32
2,1,358132968.0,1.0225,xs32
2,1,1019428518.0,2.925,mt32
2,1,98403982.0,0.28,sc32
2,1,388452298.0,1.11,lm32
2,2,358109073.0,1.0225,xs32
2,2,1019365976.0,2.9,mt32
2,2,91441319.0,0.26075000000000004,sc32
2,2,333336859.0,0.9525000000000001,lm32
2,4,358150451.0,1.0225,xs32
2,4,1019483447.5,2.9250000000000003,mt32
2,4,88131904.5,0.252125,sc32
2,4,306482413.0,0.8756250000000001,lm32
2,8,358204697.75,1.0225000000000004,xs32
2,8,1019643249.25,2.9249999999999994,mt32
2,8,86584692.75,0.24750000000000003,sc32
2,8,293498263.25,0.8390625000000003,lm32
2,16,520995994.375,1.4874999999999994,xs32
2,16,409289053.875,1.1700000000000008,mt32
2,16,612659448.0,1.7510937500000008,sc32
2,16,217813609.25,0.6234375000000003,lm32
4,1,358180324.0,1.0225,xs32
4,1,1019567043.0,2.925,mt32
4,1,98556233.0,0.2825,sc32
4,1,389047554.0,1.1125,lm32
4,2,358144600.5,1.0225,xs32
4,2,1019467330.0,2.9250000000000003,mt32
4,2,91557109.0,0.26225,sc32
4,2,333807901.5,0.9537500000000001,lm32
4,4,358122207.25,1.0225000000000004,xs32
4,4,1019407735.75,2.9249999999999994,mt32
4,4,88042643.5,0.2513125,sc32
4,4,306131705.5,0.8756249999999998,lm32
4,8,358132169.0,1.0225000000000006,xs32
4,8,1019431158.5,2.9249999999999985,mt32
4,8,86351778.25,0.2465312499999999,sc32
4,8,292548069.375,0.8365624999999997,lm32
4,16,520922113.8125,1.4874999999999983,xs32
4,16,409077335.75,1.1700000000000013,mt32
4,16,612424752.0,1.7485937500000013,sc32
4,16,216865137.625,0.6185937500000007,lm32
8,1,358091970.0,1.0225,xs32
8,1,1019317199.5,2.8999999999999995,mt32
8,1,98277169.5,0.28,sc32
8,1,387913301.0,1.1075,lm32
8,2,358092708.25,1.0225000000000004,xs32
8,2,1019318778.25,2.899999999999999,mt32
8,2,91389672.25,0.26075,sc32
8,2,333131200.0,0.9512499999999999,lm32
